457 1 1 2 5 3 1 5 3 1 1 2 2 4 1 2 -1.00458750946367 -0.970248266649613 -0.756494427872811 -0.19354681599116 -0.651019134459151 -0.38219284175691 -0.380633095274753 0.124973726149881 "TMe-1915" "Green purple" "Central part" 1 4
496 1 4 1 5 2 1 1 4 1 3 5 1 2 1 2 0.0361540260249922 -0.446895671011814 0.0818539966983465 -0.668046263631698 -0.24234620312167 -0.530853912818844 0.0629559237167238 -1.94143474278756 "TMe-2" "Green purple" "Central part" 1.45 4.2
1313 1 1 1 4 2 1 1 4 2 3 5 1 4 1 2 -0.224031357847174 -0.970248266649613 -0.844741630459249 -1.15253517332783 -1.05969206579663 -1.15523041127897 2.72449003766558 0.959484838605387 "TMe-4" "Purple" "Totally pigmented" 0.32 0.4
1428 1 1 2 4 1 1 1 4 1 3 4 2 2 2 1 -0.484216741719341 -0.621346536224411 -1.02123603563212 -1.15919481469822 -1.161860298631 -1.17505188742056 2.28090101867411 0.899876902001422 "TMe-6" "Purple" "Totally pigmented" 0.266666666666667 0.2
41 1 1 2 5 3 2 4 1 1 3 3 1 1 2 2 -0.874494817527591 -0.708571968830713 0.523090009630535 0.605610148456061 0.268494961050182 0.955756797800501 -0.824222114266229 0.442882721371026 "TMe-11" "Purple" "Totally pigmented" 3.9 7.2
95 1 1 2 5 2 2 2 1 1 3 2 1 4 2 2 -0.744402125591508 -0.446895671011814 0.0818539966983465 0.156084355954499 -0.119744323720426 0.39084472776515 -0.380633095274753 0.442882721371026 "TMe-12" "Purple" "Totally pigmented" 2.9 5.4
150 1 1 2 5 1 2 1 4 1 3 1 1 1 2 2 -0.354124049783258 2.69321990281498 0.346595604457659 3.80223800624494 0.472831426718922 3.78031714797726 -0.824222114266229 -1.1466622547347 "TMe-13" "Purple" "Totally pigmented" 7 10
211 1 1 2 5 1 2 1 4 1 3 3 1 4 2 2 -0.354124049783258 -0.446895671011814 0.214224800578003 0.505715527900158 0.431964133585174 0.371023251623558 -0.824222114266229 -1.30561675234527 "TMe-14" "Purple" "Totally pigmented" 2.13333333333333 10.2
1305 1 4 2 4 1 2 1 4 1 4 2 1 2 2 2 -1.13468020139976 -0.446895671011814 -0.888865231752468 -0.19354681599116 -0.916656539828514 -0.263263984907362 -0.824222114266229 -0.749276010708269 "TMe-39" "Green purple" "Central part" 1.4 2
1323 1 4 3 4 3 2 3 1 1 4 5 2 2 2 1 -0.744402125591508 -0.446895671011814 -0.888865231752468 -0.94275647016043 -1.01882477266288 -0.917372697579874 0.0629559237167238 0.840268965397458 "TMe-41" "Light green" "Absent" 0.7 1
1348 1 4 3 4 3 2 4 1 1 4 5 1 2 2 2 0.426432101833242 1.90819100935828 0.170101199284784 -1.09259840099428 -0.589718194758529 -0.292996199119749 3.61166807564853 1.55556420464503 "TMe-44" "Green purple" "Central part" 3.1 0.4
1373 1 3 1 5 5 1 5 2 5 4 4 2 2 1 1 0.0361540260249922 1.12316211590158 -0.138764009767748 0.00624242512064502 -0.283213496255418 0.152987014066055 1.83731199968263 0.840268965397458 "TMe-48" "Green purple" "Top part" 2.4 4.8
1411 1 1 1 4 3 1 3 1 1 3 5 1 2 2 1 -0.614309433655424 -0.185219373192914 -0.668247225286373 -0.94275647016043 -0.916656539828514 -0.768711626517939 0.0629559237167238 1.4363483314371 "TMe-57" "Purple" "Totally pigmented" 1.2 1
1429 1 3 3 4 1 2 1 4 1 3 3 1 4 1 2 0.556524793769325 0.774260385476382 -0.359382016233842 -0.726318125622641 -0.589718194758529 -0.620050555456005 -0.380633095274753 0.50249065797499 "TMe-60" "Green purple" "Central part" 1.26666666666667 2.8
1442 1 3 1 4 2 2 4 1 1 3 3 1 1 1 2 -0.614309433655424 -0.795797401437015 0.434842807044097 -0.559827091362801 -0.119744323720426 -0.164156604199407 0.5065449427082 0.105104413948559 "TMe-62" "Purple" "Totally pigmented" 2.46666666666667 3.8
1455 1 3 3 4 1 2 1 4 1 3 3 2 4 1 2 -1.13468020139976 -1.23192456446851 -0.932988833045686 -0.992703780438381 -1.05969206579663 -0.976837126004648 -0.824222114266229 -0.332020454480515 "TMe-64" "Purple" "Totally pigmented" 0.6 0.8
1600 1 1 3 1 1 2 1 4 1 3 2 2 2 2 2 -1.00458750946367 -1.31914999707481 -1.15360683951178 -1.02600198729035 -1.14142665206413 -1.15523041127897 -0.380633095274753 0.383274784767062 "TMe-85" "Green purple" "Central part" 0.0666666666666667 1
1636 1 1 1 4 3 1 3 1 1 3 1 2 2 2 2 -1.00458750946367 0.0764569246259852 -1.10948323821856 -0.693019918770673 -1.12099300549726 -0.8579082691551 -0.380633095274753 -1.16653156693602 "TMe-90" "Purple" "Totally pigmented" 0.4 1
1676 1 3 1 5 4 2 4 2 5 4 5 2 4 2 2 0.296339409897159 -0.551566190139373 -0.138764009767748 -0.872830235771298 -0.446682668790411 -0.798443840730326 0.950133961699676 1.23765520942389 "TMe-98" "Green purple" "Top part" 0.96 3.2
1680 1 5 1 5 4 2 4 2 5 4 5 2 2 1 2 0.166246717961075 -0.656236709266933 -0.0505168071813099 -0.653062070548312 -0.181045263421048 -0.643836326825914 0.5065449427082 0.442882721371026 "TMe-99" "Green purple" "Top part" 1.04 5.4
17 1 1 1 4 4 2 4 2 2 3 3 2 2 2 2 -0.874494817527591 0.599809520263784 -0.40350561752706 0.805399389567866 -0.487549961924159 0.985489012012888 0.5065449427082 0.522359970176312 "TMe-103" "Purple" "Totally pigmented" 3.6 4
